name,speed,range,rating,reviews,price,emi,extra_details
e-Sprinto Rapo,25 km/Hr,100 km/charge,0.0,0,"Rs 62,999 * Onwards","EMI starts from ₹1,831",3-4 Hr
Vegh S60,58 km/Hr,65-100 km/charge,0.0,0,"Rs 99,000 * Onwards","EMI starts from ₹2,859",4-5 Hr
Evolet Dhanno,25 km/Hr,80-100 km/charge,4.3,2,"Rs 84,999 * Onwards","EMI starts from ₹2,474",3-4 Hr
GoBike Ambition,55 km/Hr,4-5 Hr,4.1,3,"Rs 73,817 * Onwards","EMI starts from ₹2,147",N/A
Zelo Zaeden,60-140 km/charge,3 Hr,5.0,1,"Rs 52,900 * Onwards","EMI starts from ₹1,539",N/A
Rowwet Rame,55 km/Hr,3 Hr,5.0,1,"Rs 1,15,000 * Onwards","EMI starts from ₹3,309",N/A
Shema Hobby,25 km/Hr,90 km/charge,0.0,0,"Rs 77,000 * Onwards","EMI starts from ₹2,217",3-4 Hr
Rowwet Zepop,65 km/Hr,80-90 km/charge,0.0,0,"Rs 61,770 * Onwards","EMI starts from ₹1,792",3 Hr
Enigma Crink Pro,80 km/Hr,90-110 km/charge,0.0,0,"Rs 1,15,306 * Onwards","EMI starts from ₹3,319",N/A
Odysse Racer Neo,25 km/Hr,90-115 km/charge,4.8,1,"Rs 52,000 * Onwards","EMI starts from ₹1,510",4-8 Hr
NIJ Automotive Accelero Plus,25 km/Hr,190 km/charge,4.0,1,"Rs 55,200 * Onwards","EMI starts from ₹1,581",3-4 Hr
AMO Electric Jaunty L,55-60 km/charge,3-4 Hr,0.0,0,"Rs 54,577 * Onwards","EMI starts from ₹1,593",N/A
Komaki XGT VP,70 km/Hr,75-80 km/charge,4.5,5,"Rs 59,999 * Onwards","EMI starts from ₹1,735",4-5 Hr
RunR HS Electric,70 km/Hr,100 km/charge,0.0,0,"Rs 1,14,499 * Onwards","EMI starts from ₹3,325",N/A
Tunwal Lithino Pro,25 km/Hr,100-110 km/charge,0.0,0,"Rs 49,993 * Onwards","EMI starts from ₹1,445",4-5 Hr
GT Vegas,25 km/Hr,60-70 km/charge,3.8,1,"Rs 57,999 * Onwards","EMI starts from ₹1,671",4.3 Hr
Green Loader,25 km/Hr,60 km/charge,0.0,0,"Rs 75,999 * Onwards","EMI starts from ₹2,185",4-6 Hr
Gemopai Ryder,25 km/Hr,90 km/charge,4.3,3,"Rs 70,850 * Onwards","EMI starts from ₹2,051",N/A
OPG Faast F3,70 km/Hr,120-130 km/charge,0.0,0,"Rs 1,04,999 * Onwards","EMI starts from ₹3,052",4-5 Hr
Ujaas eSpa Li,75 km/charge,3-4 Hr,5.0,1,"Rs 60,774 * Onwards","EMI starts from ₹1,760",N/A
Lectrix LXS 2.0,55 km/Hr,98 km/charge,4.3,3,"Rs 84,990 * Onwards","EMI starts from ₹2,473",3 Hr
GoBike Quanto,55 km/Hr,4-5 Hr,0.0,0,"Rs 69,182 * Onwards","EMI starts from ₹1,998",N/A
Numeros n-First,70 km/Hr,109 km/charge,0.0,0,"Rs 74,299 * Onwards","EMI starts from ₹2,162",7-8 Hr
Essel Energy Wind,25 km/Hr,65-75 km/charge,3.7,1,"Rs 54,600 * Onwards","EMI starts from ₹1,593",N/A
AMO Electric Inspirer,25 km/Hr,100 km/charge,4.5,8,"Rs 49,989 * Onwards","EMI starts from ₹1,445",6 Hr
ADMS Phantom,60 km/Hr,4-5 Hr,5.0,1,"Rs 1,49,000 * Onwards","EMI starts from ₹4,305",N/A
Yakuza Unique,25 km/Hr,55 km/charge,0.0,0,"Rs 63,000 * Onwards","EMI starts from ₹1,831",6-8 Hr
ADMS Marvel,70 km/Hr,70-100 km/charge,4.7,6,"Rs 97,000 * Onwards","EMI starts from ₹2,795",3-4 Hr
Greta Harper ZX Series-I,60 km/Hr,80 km/charge,4.1,7,"Rs 41,999 * Onwards","EMI starts from ₹1,221",3-4 Hr
DAO Vidyut 108,25 km/Hr,70 km/charge,4.5,2,"Rs 86,449 * Onwards","EMI starts from ₹2,488",N/A
PURE EV Epluto 7G,47 km/Hr,85-101 km/charge,3.2,19,"Rs 80,799 * Onwards","EMI starts from ₹2,339",N/A
Okinawa Okhi90,90 km/Hr,160 km/charge,4.2,35,"Rs 1,49,991 * Onwards","EMI starts from ₹4,337",5-6 Hr
Detel EV Veeru,25 km/Hr,100 km/charge,3.7,2,"Rs 75,000 * Onwards","EMI starts from ₹2,152",N/A
Ujaas eGo Li,25 km/Hr,75 km/charge,4.7,2,"Rs 60,774 * Onwards","EMI starts from ₹1,760",3-4 Hr
MX Moto MXV,75 km/Hr,105-120 km/charge,1.0,1,"Rs 84,999 * Onwards","EMI starts from ₹2,474",N/A
Vegh S25,25 km/Hr,80 km/charge,0.0,0,"Rs 74,539 * Onwards","EMI starts from ₹2,170",4-5 Hr
Kabira Hermes 75,100 km/Hr,120 km/charge,3.7,2,"Rs 74,200 * Onwards","EMI starts from ₹2,159",3.5 Hr
e-Sprinto Roamy,25 km/Hr,100 km/charge,3.7,1,"Rs 54,999 * Onwards","EMI starts from ₹1,606",3-4 Hr
Energy Automobile EvOne,25 km/Hr,70-75 km/charge,3.7,1,"Rs 60,000 * Onwards","EMI starts from ₹1,735",3-4 Hr
Thunderbolt Electra,55 km/Hr,110-120 km/charge,5.0,1,"Rs 79,999 * Onwards","EMI starts from ₹2,313",4-5 Hr
Evolet Pony,25 km/Hr,80 km/charge,3.8,1,"Rs 59,999 * Onwards","EMI starts from ₹1,735",3-4 Hr
